country;population;lung;liver;stomach;colon;breast ;leukemia;doctors;alcohol_liters;air_pollution_exposure;hdi;tobacco;suicide_rate;deaths_drugs;deaths_alcohol
Austria;8840521;4,73;0,90;1,14;2,87;1,99;0,92;52,11;11,96;15,50;0,91;29,10;15,70;0,16;0,58
Belgium;11427054;6,87;0,75;1,11;3,69;2,53;1,08;31,15;11,08;12,80;0,92;25,00;18,70;0,19;0,46
Bulgaria;7025037;6,64;0,90;2,23;5,23;2,47;0,81;42,07;12,65;20,10;0,82;38,90;9,70;0,10;0,14
Croatia;4087843;7,02;0,76;2,06;5,60;2,47;1,00;33,86;9,23;20,30;0,84;36,60;16,40;0,17;0,65
Cyprus;1189262;3,78;0,53;1,02;2,14;1,82;0,82;29,80;10,81;13,20;0,87;36,70;4,20;0,14;0,08
Czechia;10629928;5,87;0,58;1,21;4,34;1,79;0,98;40,24;14,45;19,50;0,89;31,50;13,60;0,13;0,42
Denmark;5793636;7,42;0,64;0,87;4,47;2,40;0,99;42,25;10,26;4,00;0,93;18,60;11,40;0,34;1,40
Estonia;1321977;5,43;0,72;2,30;3,99;1,98;1,06;34,81;9,23;6,30;0,88;30,50;15,30;0,95;1,61
Finland;5515525;4,64;0,91;1,09;2,88;1,89;0,76;46,40;10,78;6,40;0,93;19,70;16,20;0,52;1,02
France;67101930;5,94;1,15;1,06;3,69;2,25;1,12;32,40;12,33;11,70;0,89;34,60;14,20;0,26;0,56
Germany;82905782;6,43;0,92;1,64;4,35;2,60;1,12;43,00;12,91;13,10;0,94;28,00;12,90;0,20;0,77
Greece;10732882;7,98;0,73;1,88;3,63;2,58;1,49;62,26;10,18;13,40;0,87;39,10;5,10;0,17;0,04
Hungary;9775564;9,42;0,52;1,76;5,88;2,30;0,97;34,08;11,35;17,70;0,85;30,60;17,70;0,06;0,55
Iceland;352721;4,05;0,45;0,74;1,93;1,19;0,57;40,78;9,12;6,20;0,94;13,80;10,80;0,43;0,23
Ireland;4867316;4,37;0,52;0,90;2,73;1,64;0,62;33,13;12,88;8,80;0,94;23,60;9,90;0,40;0,19
Italy;60421760;6,07;1,12;2,11;4,04;2,37;1,17;39,64;7,84;16,00;0,88;23,40;6,70;0,09;0,06
Latvia;1927174;4,92;0,54;2,40;3,85;2,22;0,93;33,02;12,77;16,10;0,85;36,70;18,10;0,25;1,48
Lithuania;2801543;4,77;0,60;2,43;3,68;1,93;0,97;45,98;13,22;8,50;0,87;27,10;27,40;0,53;1,12
Netherlands;17231624;7,52;0,54;1,39;4,41;2,50;1,05;37,09;9,61;11,80;0,93;23,40;11,40;0,10;0,28
Norway;5311916;4,44;0,43;0,84;3,79;1,50;0,53;48,34;7,41;6,10;0,95;18,40;12,00;0,45;0,44
Poland;37974750;8,13;0,38;1,78;4,58;1,99;0,90;24,00;11,71;24,30;0,87;26,00;12,70;0,05;1,16
Portugal;10283822;4,55;1,01;2,84;4,92;2,07;1,03;53,12;12,03;10,80;0,85;27,90;11,70;0,05;0,18
Slovakia;5446771;4,57;0,56;1,39;4,38;1,78;0,69;35,17;11,14;16,90;0,86;32,30;12,20;0,03;0,41
Slovenia;2073894;6,05;1,06;1,84;4,30;2,09;0,93;31,72;11,90;18,30;0,90;22,70;17,80;0,13;1,01
Spain;46797754;5,23;1,05;1,54;4,20;1,70;0,89;40,30;12,72;11,70;0,89;27,90;7,80;0,15;0,09
Sweden;10175214;4,23;0,61;0,80;3,51;1,94;0,91;44,06;8,93;6,20;0,94;28,80;14,90;0,46;0,35
Switzerland;8514329;4,44;0,89;0,86;2,57;1,98;0,74;43,33;11,53;11,10;0,95;25,10;14,50;0,24;0,32
